dateres,mpnumber,rec_acres,new_units,parcelct,shape_area,pet_no,dev_type,desc_lpd,objectid,unit_price,petitioner,rehab_unit,netarea,orig_fid,nezname,inactive,gen_bound,Shape__Area,Shape__Length
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,341,,2042,357.19,,mix,houses (new) & houses (rehab),1,low/mod,P&DD/Jefferson Chalmers CDC,,248.95,1,Jefferson-Chalmers,,"in general: n-E. Jefferson, e-Alter, s- xxx, w-Lenox",2646216.79296875,8135.49069552271
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,64,,584,70,,mix,houses (new) & houses (rehab),2,low/mod,P&DD/P.I.F.U. Housing Corp.,,48.7,1,P.I.F.U.,1,"n-Kercheval, e-Alter, s-E. Jefferson, w-Chalmers",518806.77734375,2944.93617499826
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,8,11,10,11.42,,mix,11 houses (new) & houses (rehab),3,"$55,000-$70,000",P&DD/Bagley Housing Association,,0.88,1,Hubbard-Richard,1,"n-Porter, e-18th in general, s-Howard & Lafayette, w-west side of St. Anne",84480.98046875,1420.87944206349
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,46,157,160,49.11,,new,157 houses (new),4,"$100,000-$250,000",P&DD,,3.13,1,Victoria Park,1,"n-Freud, e-Newport, s-Averhill, w- Dickerson",363855.26171875,2555.00527601744
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,8,111,2,7.88,,new,111 townhomes (new),5,market rate,P&DD/Singh/Bradby LLC,,4.74,1,Elmwood Park (10c & 10d),,"in general near: Bradby Dr., Woods Circle, St. Marion Pl.",54889.9609375,971.327199741991
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,8,180,9,9.97,,new,180 condos (new),6,"$89,900-$120,000",P&DD/Crosswinds (Campau Farms),,0,1,Elmwood Park (Parcel 7),1,"in general near: Elmwood Park, Prince Hall Dr., Bradby Dr., and Joseph Campau",41211.140625,1242.99949002694
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,18,55,47,18.2,,new,55 houses (new),7,"$150,000",P&DD,,0.89,1,Virginia Park,1,"in genera: n-north side of Estates Dr., e-Poe, s-Pallister, w-Rosa Parks",117271.4375,1455.03125769374
1992/10/21 00:00:00+00,1970/01/01 00:00:00+00,33,,351,34.83,,new,condos and townhomes (new),8,"$215,000-$250,000",P&DD,,6.58,1,Harbortown,,"n-Jefferson, e-Mt. Elliott, s-Detroit River, w-Adair",257824.4375,2292.01834964628
1994/10/26 00:00:00+00,1970/01/01 00:00:00+00,50.4,,282,56.13,,mix,houses & townhouses (new) & houses (rehab),9,market rate and low/mod,Corktown Citizens District Council,,35.38,1,Corktown,,"n-Michigan, e-Lodge, s-Porter & Bagley, w-Trumbull & Rosa Parks",415367.46875,4007.65699470494
1996/01/03 00:00:00+00,1970/01/01 00:00:00+00,88,,548,92.62,,mix,houses (new) & houses (rehab),10,"$75,000-$125,000",Habitat for Humanity/Northwest Detroit Neighborhood Development,,61.6,1,Westwood Park,,"n-north of Lyndon, e-Westwood & Grandville, s-north of Schoolcraft, w-east of Evergreen",678610.8515625,3755.13107698624
1996/03/27 00:00:00+00,1970/01/01 00:00:00+00,33.91,301,57,38.25,,new,301 condos (new),11,market rate,Grayhaven Estates Dev. Co.,,33.69,1,Grayhaven,,"n-south of Avondale, e-Lenox, s-Detroit River, w-Port Lagoon",283339.57421875,2764.14610274314
