city,acres,statefp10,mtfcc10,name10,intptlat10,awater10,objectid,namelsad10,funcstat10,aland10,geoid10,tractce10,intptlon10,sq_miles,countyfp10,Shape__Area,Shape__Length
Detroit,372.6203,26,G5020,5215,42.33686,0,1,Census Tract 5215,S,1507941,26163520000,521500,-83.07639,0.582219,163,2761472.49609375,7521.27654696124
Detroit,322.6272,26,G5020,5214,42.33059,0,2,Census Tract 5214,S,1305626,26163520000,521400,-83.07301,0.504105,163,2390494.07421875,7486.41604070879
Detroit,395.3763,26,G5020,5211,42.32088,117811,3,Census Tract 5211,S,1600031,26163520000,521100,-83.08086,0.617775,163,3144283.09375,9019.49221457973
Detroit,273.1431,26,G5020,9853,42.32039,379735,4,Census Tract 9853,S,1105371,26163980000,985300,-83.07014,0.426786,163,2718266.6328125,8433.18503759591
Detroit,229.6859,26,G5020,5152,42.36166,0,5,Census Tract 5152,S,929506,26163520000,515200,-83.00567,0.358884,163,1703528.8671875,5257.92786302086
Detroit,333.1707,26,G5020,5208,42.32547,686823,6,Census Tract 5208,S,1348294,26163520000,520800,-83.05379,0.520579,163,3725568.72265625,9228.20727101297
Detroit,189.6356,26,G5020,5207,42.33472,0,7,Census Tract 5207,S,767428,26163520000,520700,-83.05546,0.296306,163,1405278.515625,5150.61413180414
Detroit,101.2089,26,G5020,5204,42.34816,0,8,Census Tract 5204,S,409578,26163520000,520400,-83.0676,0.158139,163,750327.9296875,3809.56656932451
Detroit,111.4734,26,G5020,5203,42.34979,0,9,Census Tract 5203,S,451117,26163520000,520300,-83.06274,0.174177,163,826463.4140625,3848.81591741314
Detroit,152.0017,26,G5020,5169,42.34465,0,10,Census Tract 5169,S,615129,26163520000,516900,-83.03024,0.237503,163,1126750.44921875,4488.54318052052
Detroit,170.7748,26,G5020,5166,42.34137,0,11,Census Tract 5166,S,691101,26163520000,516600,-83.02019,0.266836,163,1265784.8515625,5786.33363893897
Detroit,330.8202,26,G5020,5165,42.33757,1045874,12,Census Tract 5165,S,1338782,26163520000,516500,-83.01486,0.516907,163,4367043.484375,10622.0759784759
Detroit,69.36149,26,G5020,5171,42.33583,0,13,Census Tract 5171,S,280696,26163520000,517100,-83.03304,0.108377,163,514015.453125,3010.02626472853
Detroit,254.6414,26,G5020,5164,42.35086,0,14,Census Tract 5164,S,1030497,26163520000,516400,-83.00961,0.397877,163,1887969.87890625,5741.01780914976
Detroit,139.6672,26,G5020,5162,42.36616,0,15,Census Tract 5162,S,565213,26163520000,516200,-83.01894,0.21823,163,1036022.41796875,4361.56335379782
Detroit,333.4346,26,G5020,5161,42.37566,0,16,Census Tract 5161,S,1349362,26163520000,516100,-83.02584,0.520992,163,2474099.015625,7022.99299406799
Detroit,298.5157,26,G5020,5157,42.35304,1059803,17,Census Tract 5157,S,1208050,26163520000,515700,-82.98714,0.466431,163,4155146.21484375,9354.76495605407
Detroit,213.7209,26,G5020,5156,42.36395,0,18,Census Tract 5156,S,864898,26163520000,515600,-82.99177,0.333939,163,1585243.21875,6091.89341330473
Detroit,223.004,26,G5020,5154,42.36097,0,19,Census Tract 5154,S,902465,26163520000,515400,-82.99638,0.348444,163,1653935.015625,6571.83897976874
Detroit,196.4784,26,G5020,5153,42.35329,0,20,Census Tract 5153,S,795120,26163520000,515300,-83.00055,0.306998,163,1456853.18359375,4864.06492603521
Detroit,204.1431,26,G5020,5202,42.35722,0,21,Census Tract 5202,S,826138,26163520000,520200,-83.06994,0.318974,163,1513866.58984375,4935.02547521316
Detroit,349.7695,26,G5020,5188,42.3597,0,22,Census Tract 5188,S,1415467,26163520000,518800,-83.03724,0.546515,163,2594006.234375,6811.70952745389
Detroit,261.0782,26,G5020,5184,42.36983,0,23,Census Tract 5184,S,1056546,26163520000,518400,-83.04411,0.407935,163,1936860.04296875,5564.83427989173
Detroit,210.3237,26,G5020,5180,42.3625,0,24,Census Tract 5180,S,851150,26163520000,518000,-83.06137,0.328631,163,1559962.56640625,5068.77376756742
